"FSC"	"SSC"	"X..405..520.35"	"FSC.Width"
"43"	21557	27.936178191288	26.9300287096786	5696
"44"	26401	31.0633675329492	13.4651571317967	6016
"45"	27200	26.0844591316422	164.161380684179	5696
"46"	26782	174.804943732347	52.6397086113235	6976
"47"	24689	22.2855040294963	8.20123760763464	5952
"48"	32432	128.152490545013	42.2645804792403	6528
"49"	24142	19.1929658181363	67.5919567996793	5504
"50"	22695	11.549442875848	16.7823786520334	5504
"51"	31726	35.2170464117686	49.5876509082295	6208
"52"	38914	51.9415776692384	58.1305319085446	6336
"53"	21935	12.5726338978974	79.3368763893986	5440
"54"	20077	23.5543059845307	27.7678644389405	5696
"55"	18209	45.2140528381459	14.1520016681548	6656
"56"	16543	172.5835951616	36.0837787887903	6720
"57"	25783	16.0511210903828	69.5676329329695	5632
"58"	31535	21.1265752819432	39.5186188446379	5824
"59"	43662	363.944496335361	99.1742502173055	7744
"60"	35681	40.2133373502238	47.7546991373565	6528
"61"	22193	19.2659327085478	7.8571251705875	5568
"62"	22650	14.4656967132123	26.0881252636886	5568
"63"	19658	12.7273013766335	34.0250926460491	5376
"64"	32332	20.7791105253543	23.9549093227993	5824
"65"	39562	95.0798261370892	49.7412057536275	6464
"66"	25770	20.2771463616312	6.80877287972115	5888
"67"	20080	19.2930278236325	22.8083181217908	5312
"68"	39662	48.3014269284158	75.9759728028501	6656
"69"	41042	147.718059448327	54.011086054149	6720
"70"	23157	15.6259941091956	12.8929281522358	5504
"71"	22982	18.2178888005798	71.4000852754837	5632
"72"	25369	16.9078497129666	66.9773151397622	5504
"73"	21732	14.5431569616488	107.71783044373	5440
"74"	29078	25.6266245535323	111.069102289642	5760
"75"	32712	137.442978656189	79.9412612795856	6848
"76"	22075	25.3721873826142	41.0412155223901	5952
"77"	41044	184.887154404295	32.4968166670241	6528
"78"	36371	29.3281829150638	85.7486989049549	6784
"79"	48159	75.4439661810949	33.0309373642921	6592
"80"	25352	36.5739095672754	120.841012498685	5888
"81"	22896	16.988834054647	70.1863150335443	5440
"82"	23828	13.0075881390068	24.9443766893253	5568
"83"	24734	13.4349131499936	23.0370443190553	5504
"84"	33679	40.1681505347306	45.0111710945031	6592
"85"	21274	18.8932274238182	81.7821815826486	5504
"86"	24987	12.1300420023283	80.561571565931	5568
"87"	30570	46.7191173195848	45.9249127452709	6464
"88"	22947	7.41822997603583	25.3258746567076	5312
"89"	27509	20.8463853589039	66.2191934467589	5568
"90"	24032	139.094688701703	26.9300287096786	6592
"91"	23710	25.7457511036355	30.436761239564	5888
"92"	22393	23.2713345185002	10.1843794125966	5824
"93"	28075	24.441201899872	18.9570604995838	6144
"94"	14238	48.0104138072081	19.5303690199879	6848
"95"	28351	19.6046186335955	61.181637111504	5760
"96"	24090	16.2782939539174	64.5378440274205	5568
"97"	30128	34.1256596211229	77.0512671205656	6272
"98"	30502	17.0079454974107	89.7056555376501	5632
"99"	54108	193.93611499674	66.5176674722602	6592
"100"	27231	17.3971663282076	26.2425689929194	5888
"101"	21554	21.0170037045162	24.5651728428857	5888
"102"	34802	33.4654884330427	47.7546991373565	6656
"103"	17022	157.627444945655	26.7001481962347	7168
"104"	37996	155.755663667048	40.4286698823075	6592
"105"	21836	18.7635681817476	12.85493320068	7232
"106"	27720	35.3112098359807	71.4000852754837	5696
"107"	34258	32.2330039382762	45.6161525504123	6400
"108"	24193	30.0795603611044	12.7398282808898	6976
"109"	28814	91.7069698236772	5.79755168308624	6272
"110"	37343	204.689795169256	48.6693851079983	7168
"111"	59996	96.6425669911494	62.7050106713994	7424
